,,,Annual Fees in Indian Rupees,,,
S.No.,Name of the College,Courses Offered (UG - Merit Based),"UR/ OBC/ EWS/
Minority",SC,ST,PwD
,,B.Sc(H) Chemistry,13390,13390,13390,55
,,B.Sc(H) Physics,13390,13390,13390,55
,,B.Sc(H) Mathematics,11770,11770,11770,55
,,B.Sc(H) Electronics,12990,12990,12990,55
,,"B.Sc Applied Physical Science with Industrial
Chemistry",13390,13390,13390,55
,,B.Sc (Prog.) Physical Science with Chemistry,12990,12990,12990,55
,,B.Sc (Prog.) Physical Science with Computer Science,12990,12990,12990,55
,,B.Sc (Prog.) Physical Science with Electronics,12990,12990,12990,55
40,Ram Lal Anand College,B.A. (PROGRAMME),11000,10815,10815,75
,,B.A. (Hons) ENGLISH,11000,10815,10815,75
,,B.A. (Hons) HINDI,11000,10815,10815,75
,,B.A. (Hons) HISTORY,11000,10815,10815,75
,,B.A. (Hons) POLITICAL SCIENCE,11000,10815,10815,75
,,"B.A. (Hons) HINDI PATRAKARITA EVAM
JANSANCHAR",30250,30065,30065,75
,,B.COM,14300,14115,14115,75
,,B.COM (Hons),14300,14115,14115,75
,,B.SC.(Hons) COMPUTER SCIENCE,65140,64955,64955,75
,,B.SC.(Hons) GEOLOGY,15400,15215,15215,75
,,B.SC.(Hons)  MICROBIOLOGY,15400,15215,15215,75
,,B.SC.(Hons) STATISTICS,15400,15215,15215,75
,,B.SC.(Hons)  MATHEMATICS,24200,24015,24015,75
41,Ramanujan College,B. Com. (H),20000,20000,20000,170
,,B. Com.,20000,20000,20000,170
,,B. A. (H) Political Science,15000,15000,15000,170
,,B. A. (H) Hindi,15000,15000,15000,170
,,B. A. (H) English,20000,20000,20000,170
,,B. A. Programme,15000,15000,15000,170
,,B. Sc. (H) Statistics,22500,22500,22500,170
,,B. Sc. (H) Mathematics,22500,22500,22500,170
,,B. Sc. (H) Computer Science,30000,30000,30000,170
,,B. A. (H) Applied Psychology,22500,22500,22500,170
,,B. A. (H) Philosophy,20000,20000,20000,170
,,B. A. (H) Economics,20000,20000,20000,170
,,B. Voc. Banking Operations,25000,25000,25000,4800
,,B. Voc. Software Development,25000,25000,25000,4800
,,,,,,
,,B.A. (Prog.),13495,13495,13495,125
,,B.Com. (Prog.),14495,14495,14495,125
,,B Com (H),14495,14495,14495,125
,,B.Sc. Phys. Science with Chemistry,14610,14610,14610,125
,,B.Sc. Phys. Science with Electronics,14610,14610,14610,125
42,Ramjas College,B.Sc. Life Science,14610,14610,14610,125
,,B.A.(H) English,13495,13495,13495,125
,,B.A.(H) Hindi,13495,13495,13495,125
,,B.A.(H) Sanskrit,13495,13495,13495,125
,,B.A.(H) Eco.,13495,13495,13495,125
,,B.A.(H) History,13495,13495,13495,125
,,B.A.(H) Pol. Sci.,13495,13495,13495,125
,,B.A.(H) Music,13495,13495,13495,125
,,BSc.(H) Physics,17610,17610,17610,125
,,BSc(H) Chemistry,16610,16610,16610,125
,,BSc. (H) Math,14610,14610,14610,125
,,BSc(H) Statistic,15610,15610,15610,125
,,BSc(H) Botany,16610,16610,16610,125
,,BSc(H) Zoology,16610,16610,16610,125
43,Satyawati College,B.A. (PROG.),7655,7655,7655,40
,,B.COM (PROG.),7655,7655,7655,40
,,B.COM (H),7655,7655,7655,40
,,B.SC. (H) MATH,7655,7655,7655,40
,,B.A. (H) ECONOMICS,7655,7655,7655,40
,,B.A. (H) ENGLISH,7655,7655,7655,40
,,B.A. (H) HINDI,7655,7655,7655,40
,,B.A. (H) HISTORY,7655,7655,7655,40
,,B.A. (H) POLITICAL SCIENCE,7655,7655,7655,40
,,B.A. (H) SANSKRIT,7655,7655,7655,40
,,B.A. (H) URDU,7655,7655,7655,40
,,B.A. (Prog.),7795,7115,7115,40
44,Satyawati College (Evening),Hindi (H),7795,7115,7115,40
,,English (H),7795,7115,7115,40
,,History (H),7795,7115,7115,40
,,Political Science (H),7795,7115,7115,40
,,Economics (H),7795,7115,7115,40
,,B.Com (Prog.),7795,7115,7115,40
,,B.Com (H),7795,7115,7115,40
45,Shaheed Bhagat Singh College,B.Com (Hons),7855,7855,7855,75
,,B.Com,7855,7855,7855,75
,,B.A (Hons) Economics,7055,7055,7055,75
,,B.A (Hons) English,7555,7555,7555,75
,,B.A (Hons) Geography,8455,8455,8455,75
,,B.A (Hons) Hindi,7055,7055,7055,75
,,B.A (Hons) History,7055,7055,7055,75
,,B.Sc (Hons) Mathematics,7055,7055,7055,75
,,B.A (Hons) Political Science,7555,7555,7555,75
,,B.A Programme,7055,7055,7055,75
46,Shaheed Bhagat Singh Evening College,B.Com,6825,6825,6825,60
,,B.Com (Hons),6825,6825,6825,60
,,B.A.(Hons) Geography,7225,7225,7225,60
,,B.A.(Hons) political science,6125,6125,6125,60
,,B.A.(Programme),6125,6125,6125,60
,,B.Sc (Hons) Biomedical Science,25620,25440,25440,1490
,,B.Sc (Hons) Bio-Chemistry,15620,15440,15440,1490
,,B.Sc (Hons) Chemistry,15620,15440,15440,1490
,,B.Sc (Hons) Computer Science,30620,30440,30440,1490
47,Shaheed Rajguru College of Applied Sciences for Women,B.Sc (Hons) Electronics,15620,15440,15440,1490
,,B.Sc (Hons) Food Technology,15620,15440,15440,1490
,,B.Sc (Hons) Instrumentation,15620,15440,15440,1490
,,B.Sc (Hons) Mathematics,15620,15440,15440,1490
,,B.Sc (Hons) Microbiology,15620,15440,15440,1490
,,B.Sc (Hons) Physics,15620,15440,15440,1490
,,B.A (Hons) Psychology,15620,15440,15440,1490
,,B.Sc (Hons) Statistics,15620,15440,15440,1490
48,Shaheed Sukhdev College of Business Studies,B. Sc. (H). Computer Science,29025,29025,29025,4055
49,Shivaji College,B.Sc. (Hons.) Mathematics,22170,22170,22170,170
,,B.Com (Hons.),19850,19850,19850,170
,,B.Com (Programme),18850,18850,18850,170
,,B.A. (Hons.) Economics,18650,18650,18650,170
,,B.A. (Hons.) Geography,21050,21050,21050,170
,,B.A. (Hons.) Hindi,18650,18650,18650,170
,,B.A. (Hons.) History,18650,18650,18650,170
,,B.A. (Hons.) Political Science,18650,18650,18650,170
,,B.A. (Programme),18650,18650,18650,170
,,B.A. (Hons.) English,18650,18650,18650,170
,,B.A. (Hons.) Sanskrit,18650,18650,18650,170
,,B.Sc. Physical Sciences (Chemistry),22970,22970,22970,170
,,B.Sc. Life Sciences,22970,22970,22970,170
,,B.Sc. Applied Physical Sciences (Computer Science),22570,22570,22570,170
,,B.Sc. (Hons.) Biochemistry,23970,23970,23970,170
,,B.Sc. (Hons.) Botany,22970,22970,22970,170
,,B.Sc. (Hons.) Chemistry,22970,22970,22970,170
,,B.Sc. (Hons.) Physics,22970,22970,22970,170
,,B.Sc. (Hons.) Zoology,22970,22970,22970,170
50,Shri Ram College of Commerce,B. Com. (Hons.),15000,14905,14905,75
,,B.A. (Hons.) Economics,15000,14905,14905,75
51,Shyam Lal College,B.A. (Programme),16450,16450,16450,90
,,B.A. (H) Economics,16450,16450,16450,90
,,B.A.(H) English,16450,16450,16450,90
,,B.A.(H) Hindi,16450,16450,16450,90
,,B.A.(H) History,16450,16450,16450,90
,,B.A.(H) Pol.Science,16450,16450,16450,90
,,B.COM. PROG.,16450,16450,16450,90
,,B.COM.(H),16450,16450,16450,90
,,BSC. Physical Science,,,,
,,B.Sc. Phy. SC. (CH),17450,17450,17450,90
,,B.Sc. Phy. SC. (CS),17450,17450,17450,90
,,B.Sc. Phy. SC. (Elect),17450,17450,17450,90
,,Chemisrty (Hons),20450,20450,20450,90
,,Math. (Hons),20450,20450,20450,90
52,Shyam Lal College (Evening),B.A. Programme,10800,10800,10800,20
,,B.A.(H) HN,10800,10800,10800,20
,,B.A.(H) EC,10800,10800,10800,20
,,B.A.(H) PS,10800,10800,10800,20
,,B.COM. PROG.,10800,10800,10800,20
,,B.COM.(H),10800,10800,10800,20
53,Shyama Prasad Mukherji College (for Women),B.A. (Hons) Applied Psychology,9885,9885,9885,125
,,B.A. (Hons) Economics,7685,7685,7685,125
,,B.A. (Hons) English,7685,7685,7685,125
,,B.A. (Hons) Geography,9385,9385,9385,125
,,B.A. (Hons) Hindi,7685,7685,7685,125
,,B.A. (Hons) History,7685,7685,7685,125
,,B.A. (Hons) Philosophy,7685,7685,7685,125
,,B.A. (Hons) Pol.Science,7685,7685,7685,125
,,B.A.(Hons) Sanskrit,7685,7685,7685,125
,,B. Com.(Programme),9685,9685,9685,125
,,B.Com. (Hons),9885,9885,9885,125
,,B.Sc. (Hons) Computer Science,39305,39305,39305,125
,,B.Sc. (Hons) Mathematics,9885,9885,9885,125
54,Sri Aurobindo College (Day),B.A.(Programme),6880,6880,6880,75
,,B.A.(Hons.) English,6880,6880,6880,75
,,B.A.(Hons.) Hindi,6880,6880,6880,75
,,B.A.(Hons.) Pol. Science,6880,6880,6880,75
,,B.Com.(Programme),6880,6880,6880,75
,,B.Com.(Hons.),6880,6880,6880,75
,,B.Sc.Life Science,9916,9916,9916,75
,,B.Sc.Physical Science,9916,9916,9916,75
,,B.Sc.(H) Electronics,9916,9916,9916,75
55,Sri Aurobindo College (Eve.),B.Com,5164,5164,5164,2694
,,B.Com(Hons.),6084,6084,6084,2694
,,B.A (Hons.) Economics,5049,5049,5049,2694
,,B.A (Hons.) Hindi,5049,5049,5049,2694
,,B.A (Hons.) App. Psychology,7349,7349,7349,2694
,,B.A (Hons.) English,5049,5049,5049,2694
56,Sri Guru Gobind Singh College of Commerce,B.Com Hons,27200,NA,NA,125
,,B.Com,27200,NA,NA,125
,,B.A. (Hons.) Economics,27200,NA,NA,125
,,B.A. (Hons.) Punjabi,27200,NA,NA,125
,,B.Sc( Hons.) Computer Science,45200,NA,NA,125
57,Sri Guru Nanak Dev Khalsa College,B.Com. (Hons.),18025,NA,NA,125
,,B.A. (Hons.) English,18025,NA,NA,125
,,B.A. (Hons.) Hindi,18025,NA,NA,125
,,B.A.(Hons.) Punjabi,18025,NA,NA,125
,,B.A. (Hons.) History,18025,NA,NA,125
,,B.A. (Hons.) Political Science,18025,NA,NA,125
,,B.A. (Hons.) Hindi Patrakarita Evam Jansanchar,39025,NA,NA,125
,,B.Com. (P),18025,NA,NA,125
,,BA PROGRAMME,18025,NA,NA,125
,,B.Sc. (Hons.) Mathematics,18025,NA,NA,125
,,B.A. (Hons.) English,20915,NA,NA,175
,,B.A. (Hons.) Hindi,20915,NA,NA,175
,,B.A. (Hons.) Punjabi,20915,NA,NA,175
,,B.A. (Hons.) Economics,20915,NA,NA,175
,,B.A. (Hons.) History,20915,NA,NA,175
,,B.A. (Hons.) Political Science,20915,NA,NA,175
,,B.A. Programme,20915,NA,NA,175
,,B. Com,26965,NA,NA,175
,,B. Com. (Hons.),26965,NA,NA,175
58,Sri Guru Tegh Bahadur Khalsa College,B.Sc. (Hons.) Botany,26965,NA,NA,175
,,B.Sc. (Hons.) Chemistry,26965,NA,NA,175
,,B.Sc. (Hons.) Computer Science,26965,NA,NA,175
,,B.Sc. (Hons.) Electronics,26965,NA,NA,175
,,B.Sc. (Hons.) Mathematics,26965,NA,NA,175
,,B.Sc. (Hons.) Physics,26965,NA,NA,175
,,B.Sc. (Hons.) Zoology,26965,NA,NA,175
,,B.Sc. Programme Life Science,26965,NA,NA,175
,,"B.Sc. Programme Physical Science (Math, Phy, Chem)",26965,NA,NA,175
,,"B.Sc. Programme Physical Science (Math, Phy, Comp. Sc.)",26965,NA,NA,175
59,Sri Venkateswara College,B.A.Programme,12405,12405,12405,670
,,B.Com,12405,12405,12405,670
,,B.Com(Hons),12405,12405,12405,670
,,B.A.(Hons)English,12405,12405,12405,670
,,B.A.(Hons)Hindi,12405,12405,12405,670
,,B.A.(Hons)Sanskrit,12405,12405,12405,670
,,B.A.(Hons)Economics,12405,12405,12405,670
,,B.A.(Hons)History,12405,12405,12405,670
,,B.A.(Hons)Political Science,12405,12405,12405,670
,,B.A.(Hons)Sociology,12405,12405,12405,670
,,B.Sc (Programme) Life Sciences,14555,14555,14555,670
,,B.Sc.(Hons)Physics,14555,14555,14555,670
,,B.Sc.(Hons)Chemistry,14805,14805,14805,670
,,B.Sc.(Hons)Botany,14555,14555,14555,670
,,B.Sc.(Hons)Zoology,14555,14555,14555,670
,,B.Sc.(Hons)Biological Sciences,14555,14555,14555,670
,,B.Sc.(Hons)Bio-Chemistry,14805,14805,14805,670
,,B.Sc.(Hons)Electronics,14555,14555,14555,670
,,B.Sc.(Hons)Mathematics,13805,13805,13805,670
,,B.Sc.(Hons)Statistics,13355,13355,13355,670
60,St. Stephen's College,B. A. Economics (Hons),40420,40420,40420,150
,,B. A. English (Hons),40420,40420,40420,150
,,B A. History (Hons),40420,40420,40420,150
,,B. A. Philosophy (Hons),40420,40420,40420,150
,,B. A. Sanskrit (Hons),40420,40420,40420,150
,,B. Sc. Mathematics (Hons),40780,40780,40780,150
,,B. Sc. Chemistry (Hons),42835,42835,42835,150
,,B. Sc. Physics (Hons),42835,42835,42835,150
,,B. Sc. Programme (Physical Science),42835,42835,42835,150
,,B. A. Programme,40420,40420,40420,150
61,Swami Shraddhanand College,B.A. Programme,11055,11055,11055,510
,,B.A.(Hons.) English,11055,11055,11055,510
,,B.A (Hons.) Geography,12155,12155,12155,510
,,B.A.(Hons.) Hindi,11055,11055,11055,510
,,B.A.(Hons.) History,11055,11055,11055,510
,,B.Com.  Programme,12155,12155,12155,510
,,B.Com. (Hons.),12155,12155,12155,510
,,B.Sc. Programme Life Sciences,12155,12155,12155,510
,,B.Sc. Programme Applied Science,12155,12155,12155,510
,,B.Sc. Programme Physical  Sciences,12155,12155,12155,510
,,B.Sc. (Hons.) Botany,12155,12155,12155,510
,,B.Sc. (Hons.  Microbiology,12155,12155,12155,510
,,B.Sc. (Hons.) Physics,12155,12155,12155,510
,,B.SC. (Hons.) Chemistry,12155,12155,12155,510
,,B.Sc.(Hons.) Zoology,12155,12155,12155,510
62,Vivekananda College,B.A. (PROG),13400,13400,13400,125
,,B.COM,13400,13400,13400,125
,,B.COM (HONS),13400,13400,13400,125
,,B.A. (HONS) APPLIED PSYCHOLOGY,13400,13400,13400,125
,,B.A. (HONS) ENGLISH,12900,12900,12900,125
,,B.A. (HONS) HINDI,12900,12900,12900,125
,,B.A. (HONS) HISTORY,12900,12900,12900,125
,,B.A. (HONS) POLITICAL SCIENCE,12900,12900,12900,125
,,B.A. (HONS) SANSKRIT,12900,12900,12900,125
,,B.SC. (HONS) MATHEMATICS,13400,13400,13400,125
,,B.SC. (HONS) HOME SCIENCE,13400,13400,13400,125
,,B.A. Programme,8680,8680,8680,45
,,B.A.(H) Arabic,8680,8680,8680,45
,,B.A.(H) Bengali,8680,8680,8680,45
,,B.A.(H) Economics,8680,8680,8680,45
,,B.A.(H) English,8680,8680,8680,45
,,B.A.(H) Hindi,8680,8680,8680,45
,,B.A.(H) History,8680,8680,8680,45
,,B.A.(H) Persian,8680,8680,8680,45
,,B.A.(H) Philosophy,8680,8680,8680,45
63,Zakir Husain Delhi College,B.A.(H) Political Science,8680,8680,8680,45
,,B.A.(H) Psychology,11580,11580,11580,45
,,B.A.(H) Sanskrit,8680,8680,8680,45
,,B.A.(H) Urdu,8680,8680,8680,45
,,B.Com.,8980,8980,8980,45
,,B.Com.(H),9880,9880,9880,45
,,B.Sc. Life Sciences,11616,11616,11616,45
,,B.Sc. Physical Sciences,11616,11616,11616,45
,,B.Sc.(H) Botany,12366,12366,12366,45
,,B.Sc.(H) Chemistry,12316,12316,12316,45
,,B.Sc.(H) Electronics,12416,12416,12416,45
,,B.Sc.(H) Mathematics,12116,12116,12116,45
,,B.Sc.(H) Zoology,12366,12366,12366,45
64,Zakir Husain Delhi College (Eve.),B. COM.,6909,6909,6909,99
,,B. COM. (HONS.),7109,7109,7109,99
,,ENGLISH (HONS.),6309,6309,6309,99
,,HINDI (HONS.),6309,6309,6309,99
,,HISTORY (HONS.),6309,6309,6309,99
,,POLITICAL SCIENCE (HONS.),6309,6309,6309,99
,,PERSIAN (HONS.),6309,6309,6309,99
,,SANSKRIT (HONS.),6309,6309,6309,99
,,URDU (HONS.),6309,6309,6309,99
,,B.A. (PROG.),6309,6309,6309,99
Note: The Fee may be revised by the Colleges/Department,,,,,,
